path,module,is_test,has_main_guard,cli_frameworks,static_inbound_count,non_test_static_inbound_count,static_outbound_count,workflow_reference_count,dynamic_import_indicator_count,execution_reference_count,test_reference_count,supported_root_count,reachable_from_supported_static_root,zero_static_inbound,authority_profile,disposition
domain/fotmob_pr80_source_local_time_semantic_equivalence_protocol.py,domain.fotmob_pr80_source_local_time_semantic_equivalence_protocol,False,False,,4,3,4,0,0,0,1,0,False,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_pr80_source_local_time_semantic_equivalence_qualification.py,domain.fotmob_pr80_source_local_time_semantic_equivalence_qualification,False,False,,2,1,1,0,0,0,1,0,False,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_primary_id_competition_mapping_qualification.py,domain.fotmob_primary_id_competition_mapping_qualification,False,False,,6,5,1,0,0,0,1,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_primary_id_competition_mapping_semantics_protocol.py,domain.fotmob_primary_id_competition_mapping_semantics_protocol,False,False,,3,1,1,0,0,0,2,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_prospective_player_context_campaign.py,domain.fotmob_prospective_player_context_campaign,False,False,,2,1,3,0,0,0,1,0,False,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_real_player_context_array_admission.py,domain.fotmob_real_player_context_array_admission,False,False,,5,3,3,0,0,0,2,0,False,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_real_player_context_authoritative_bridge.py,domain.fotmob_real_player_context_authoritative_bridge,False,False,,3,2,18,0,0,0,1,0,False,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_real_player_context_pr191_authoritative_adapter.py,domain.fotmob_real_player_context_pr191_authoritative_adapter,False,False,,2,1,4,0,0,0,1,0,False,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_real_player_context_team_strength_handoff.py,domain.fotmob_real_player_context_team_strength_handoff,False,False,,5,3,2,0,0,0,2,0,False,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_reviewed_match_details_array_records.py,domain.fotmob_reviewed_match_details_array_records,False,False,,3,1,3,0,0,0,2,0,False,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_reviewed_match_details_capture.py,domain.fotmob_reviewed_match_details_capture,False,False,,8,4,3,0,0,0,4,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_reviewed_match_details_capture_artifact.py,domain.fotmob_reviewed_match_details_capture_artifact,False,False,,3,1,1,0,0,0,2,0,False,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_reviewed_match_details_expected_goals_transform_candidate.py,domain.fotmob_reviewed_match_details_expected_goals_transform_candidate,False,False,,5,3,3,0,0,0,2,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_reviewed_match_details_fact_status_materializer.py,domain.fotmob_reviewed_match_details_fact_status_materializer,False,False,,3,2,3,0,0,0,1,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_reviewed_match_details_field_evidence_qualification.py,domain.fotmob_reviewed_match_details_field_evidence_qualification,False,False,,10,3,2,0,0,0,7,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_reviewed_match_details_field_review.py,domain.fotmob_reviewed_match_details_field_review,False,False,,5,2,3,0,0,0,3,4,True,False,UNKNOWN,UNCLASSIFIED
